id,code,name,type,parent_code,create_time,update_time,is_deleted
3089,620924,阿克塞哈萨克族自治县,COUNTY,6209,2023-09-11 00:00:00,2023-09-11 00:00:00,0
3090,620981,玉门市,COUNTY,6209,2023-09-11 00:00:00,2023-09-11 00:00:00,0
3091,620982,敦煌市,COUNTY,6209,2023-09-11 00:00:00,2023-09-11 00:00:00,0
3092,6210,庆阳市,CITY,62,2023-09-11 00:00:00,2023-09-11 00:00:00,0
3093,621002,西峰区,COUNTY,6210,2023-09-11 00:00:00,2023-09-11 00:00:00,0
3094,621021,庆城县,COUNTY,6210,2023-09-11 00:00:00,2023-09-11 00:00:00,0
3095,621022,环县,COUNTY,6210,2023-09-11 00:00:00,2023-09-11 00:00:00,0
3096,621023,华池县,COUNTY,6210,2023-09-11 00:00:00,2023-09-11 00:00:00,0
3097,621024,合水县,COUNTY,6210,2023-09-11 00:00:00,2023-09-11 00:00:00,0
3098,621025,正宁县,COUNTY,6210,2023-09-11 00:00:00,2023-09-11 00:00:00,0
3099,621026,宁县,COUNTY,6210,2023-09-11 00:00:00,2023-09-11 00:00:00,0
